0_images_name,0_labels,1_images_name,1_labels,2_images_name,2_labels,3_images_name,3_labels,4_images_name,4_labels
ISIC_0030828,,ISIC_0033206,,ISIC_0026268,,ISIC_0025316,,ISIC_0033886,
ISIC_0029698,,ISIC_0029570,,ISIC_0026167,,ISIC_0030014,,ISIC_0033522,
ISIC_0027442,,ISIC_0025783,,ISIC_0028519,,ISIC_0032258,,ISIC_0033479,
ISIC_0025964,,ISIC_0029209,,ISIC_0031023,,ISIC_0029170,,ISIC_0034140,
ISIC_0025472,,ISIC_0025616,,ISIC_0024952,,ISIC_0033037,,ISIC_0033392,
ISIC_0025996,,ISIC_0031709,,ISIC_0028481,,ISIC_0032982,,ISIC_0033638,
ISIC_0032596,,ISIC_0027204,,ISIC_0024756,,ISIC_0024999,,ISIC_0033967,
ISIC_0032841,,ISIC_0030134,,ISIC_0030689,,ISIC_0032733,,ISIC_0033387,
ISIC_0029933,,ISIC_0026647,,ISIC_0029397,,ISIC_0031377,,ISIC_0033607,
ISIC_0030382,,ISIC_0025234,,ISIC_0027021,,ISIC_0024552,,ISIC_0033905,
ISIC_0032624,,ISIC_0027900,,ISIC_0029843,,ISIC_0028764,,ISIC_0033893,
ISIC_0025751,,ISIC_0031545,,ISIC_0032232,,ISIC_0031529,,ISIC_0033708,
ISIC_0032925,,ISIC_0024732,,ISIC_0027100,,ISIC_0030356,,ISIC_0033593,
ISIC_0024351,,ISIC_0032544,,ISIC_0029343,,ISIC_0031077,,ISIC_0033902,
ISIC_0027101,,ISIC_0026811,,ISIC_0027507,,ISIC_0030089,,ISIC_0033337,
ISIC_0033074,,ISIC_0029281,,ISIC_0025755,,ISIC_0030107,,ISIC_0034188,
ISIC_0024967,,ISIC_0033239,,ISIC_0028148,,ISIC_0027130,,ISIC_0033498,
ISIC_0026094,,ISIC_0032723,,ISIC_0033063,,ISIC_0026158,,ISIC_0034173,
ISIC_0029495,,ISIC_0029839,,ISIC_0025317,,ISIC_0029914,,ISIC_0033485,
ISIC_0033171,,ISIC_0033129,,ISIC_0027327,,ISIC_0027436,,ISIC_0034233,
ISIC_0033310,,ISIC_0024767,,ISIC_0024586,,ISIC_0033204,,ISIC_0033938,
ISIC_0026150,,ISIC_0032396,,ISIC_0025724,,ISIC_0029884,,ISIC_0034256,
ISIC_0032687,,ISIC_0032070,,ISIC_0028860,,ISIC_0025651,,ISIC_0033670,
ISIC_0032630,,ISIC_0033125,,ISIC_0028493,,ISIC_0029216,,ISIC_0033452,
ISIC_0031779,,ISIC_0029212,,ISIC_0032810,,ISIC_0029013,,ISIC_0034316,
ISIC_0029705,,ISIC_0029958,,ISIC_0025248,,ISIC_0026694,,ISIC_0034068,
ISIC_0024972,,ISIC_0024459,,ISIC_0028508,,ISIC_0029630,,ISIC_0033687,
ISIC_0033278,,ISIC_0028930,,ISIC_0030281,,ISIC_0033061,,ISIC_0033526,
ISIC_0033196,,ISIC_0032517,,ISIC_0032847,,ISIC_0026976,,ISIC_0034263,
ISIC_0032134,,ISIC_0025832,,ISIC_0028220,,ISIC_0028225,,ISIC_0033678,
ISIC_0030539,,ISIC_0032019,,ISIC_0028127,,ISIC_0028505,,ISIC_0034100,
ISIC_0033324,,ISIC_0026738,,ISIC_0026258,,ISIC_0030150,,ISIC_0033476,
ISIC_0031778,,ISIC_0032716,,ISIC_0032872,,ISIC_0028567,,ISIC_0033630,
ISIC_0031406,,ISIC_0026745,,ISIC_0033279,,ISIC_0033267,,ISIC_0034052,
ISIC_0031745,,ISIC_0032873,,ISIC_0032245,,ISIC_0028777,,ISIC_0034243,
ISIC_0024700,,ISIC_0024525,,ISIC_0032433,,ISIC_0030110,,ISIC_0034050,
ISIC_0027721,,ISIC_0032308,,ISIC_0028773,,ISIC_0033193,,ISIC_0033999,
ISIC_0028916,,ISIC_0030824,,ISIC_0029094,,ISIC_0032248,,ISIC_0033804,
ISIC_0027179,,ISIC_0031233,,ISIC_0025611,,ISIC_0030360,,ISIC_0034134,
ISIC_0028685,,ISIC_0032081,,ISIC_0029056,,ISIC_0032190,,ISIC_0033730,
ISIC_0028361,,ISIC_0030106,,ISIC_0025097,,ISIC_0026239,,ISIC_0034071,
ISIC_0026697,,ISIC_0033261,,ISIC_0031795,,ISIC_0028026,,ISIC_0033534,
ISIC_0032602,,ISIC_0028465,,ISIC_0032844,,ISIC_0032450,,ISIC_0034180,
ISIC_0030445,,ISIC_0028317,,ISIC_0025709,,ISIC_0028565,,ISIC_0033911,
ISIC_0033068,,ISIC_0031494,,ISIC_0032976,,ISIC_0031718,,ISIC_0033820,
ISIC_0026081,,ISIC_0032535,,ISIC_0027616,,ISIC_0031977,,ISIC_0034087,
ISIC_0033055,,ISIC_0031550,,ISIC_0031561,,ISIC_0027033,,ISIC_0034061,
ISIC_0028655,,ISIC_0025081,,ISIC_0032389,,ISIC_0026360,,ISIC_0033569,
ISIC_0032797,,ISIC_0028901,,ISIC_0031417,,ISIC_0027776,,ISIC_0034218,
ISIC_0025414,,ISIC_0029370,,ISIC_0033272,,ISIC_0026438,,ISIC_0033942,
ISIC_0030255,,ISIC_0025500,,ISIC_0027402,,ISIC_0030083,,ISIC_0033985,
ISIC_0026558,,ISIC_0032550,,ISIC_0024911,,ISIC_0030756,,ISIC_0033700,
ISIC_0028291,,ISIC_0025132,,ISIC_0028017,,ISIC_0033183,,ISIC_0034236,
ISIC_0028288,,ISIC_0029660,,ISIC_0024367,,ISIC_0033089,,ISIC_0034246,
ISIC_0032918,,ISIC_0026989,,ISIC_0027693,,ISIC_0032915,,ISIC_0033405,
ISIC_0032441,,ISIC_0030512,,ISIC_0029502,,ISIC_0033034,,ISIC_0033801,
ISIC_0030443,,ISIC_0029937,,ISIC_0032531,,ISIC_0031586,,ISIC_0034150,
ISIC_0024630,,ISIC_0032685,,ISIC_0029538,,ISIC_0025546,,ISIC_0034117,
ISIC_0030122,,ISIC_0029575,,ISIC_0030747,,ISIC_0029271,,ISIC_0034162,
ISIC_0027620,,ISIC_0031931,,ISIC_0033029,,ISIC_0027622,,ISIC_0033662,
ISIC_0030129,,ISIC_0029473,,ISIC_0028718,,ISIC_0024333,,ISIC_0033603,
ISIC_0025265,,ISIC_0032921,,ISIC_0029606,,ISIC_0027590,,ISIC_0033518,
ISIC_0029642,,ISIC_0026877,,ISIC_0030238,,ISIC_0026746,,ISIC_0033368,
ISIC_0033275,,ISIC_0028325,,ISIC_0032313,,ISIC_0031499,,ISIC_0033533,
ISIC_0030192,,ISIC_0030760,,ISIC_0032917,,ISIC_0026954,,ISIC_0033545,
ISIC_0031741,,ISIC_0032987,,ISIC_0027420,,ISIC_0029163,,ISIC_0034222,
ISIC_0024516,,ISIC_0029146,,ISIC_0031408,,ISIC_0032845,,ISIC_0033802,
ISIC_0029353,,ISIC_0025814,,ISIC_0027904,,ISIC_0033081,,ISIC_0033619,
ISIC_0033047,,ISIC_0027144,,ISIC_0025121,,ISIC_0029021,,ISIC_0033980,
ISIC_0026735,,ISIC_0026430,,ISIC_0032192,,ISIC_0030759,,ISIC_0034065,
ISIC_0029558,,ISIC_0033286,,ISIC_0024951,,ISIC_0032331,,ISIC_0034101,
ISIC_0029885,,ISIC_0029241,,ISIC_0030440,,ISIC_0031339,,ISIC_0033369,
ISIC_0025268,,ISIC_0028352,,ISIC_0025766,,ISIC_0024482,,ISIC_0033843,
ISIC_0029726,,ISIC_0025708,,ISIC_0033240,,ISIC_0030653,,ISIC_0033469,
ISIC_0032840,,ISIC_0033004,,ISIC_0033174,,ISIC_0030681,,ISIC_0033568,
ISIC_0031479,,ISIC_0027253,,ISIC_0028215,,ISIC_0025987,,ISIC_0033344,
ISIC_0025195,,ISIC_0027387,,ISIC_0028218,,ISIC_0026950,,ISIC_0033546,
ISIC_0031908,,ISIC_0033178,,ISIC_0032958,,ISIC_0024739,,ISIC_0033586,
ISIC_0028968,,ISIC_0025085,,ISIC_0026770,,ISIC_0028760,,ISIC_0034118,
ISIC_0025145,,ISIC_0033038,,ISIC_0032645,,ISIC_0033209,,ISIC_0034094,
ISIC_0032110,,ISIC_0030047,,ISIC_0032887,,ISIC_0024410,,ISIC_0033362,
ISIC_0032888,,ISIC_0027480,,ISIC_0026622,,ISIC_0031784,,ISIC_0033428,
ISIC_0027350,,ISIC_0026996,,ISIC_0026089,,ISIC_0029318,,ISIC_0033432,
ISIC_0031295,,ISIC_0026586,,ISIC_0027126,,ISIC_0033269,,ISIC_0033624,
ISIC_0032690,,ISIC_0031821,,ISIC_0028969,,ISIC_0032862,,ISIC_0033560,
ISIC_0027561,,ISIC_0032610,,ISIC_0032244,,ISIC_0028642,,ISIC_0033807,
ISIC_0029081,,ISIC_0026847,,ISIC_0031900,,ISIC_0027838,,ISIC_0033377,
ISIC_0031186,,ISIC_0024652,,ISIC_0032287,,ISIC_0025744,,ISIC_0034049,
ISIC_0030795,,ISIC_0025035,,ISIC_0025409,,ISIC_0033304,,ISIC_0033925,
ISIC_0028211,,ISIC_0028198,,ISIC_0024962,,ISIC_0026774,,ISIC_0033946,
ISIC_0032718,,ISIC_0031844,,ISIC_0027105,,ISIC_0025891,,ISIC_0033957,
ISIC_0030754,,ISIC_0030183,,ISIC_0032552,,ISIC_0026086,,ISIC_0034313,
ISIC_0032629,,ISIC_0028900,,ISIC_0029033,,ISIC_0033122,,ISIC_0033977,
ISIC_0027282,,ISIC_0026475,,ISIC_0033180,,ISIC_0032149,,ISIC_0034074,
ISIC_0028109,,ISIC_0032476,,ISIC_0032547,,ISIC_0024640,,ISIC_0033394,
ISIC_0028114,,ISIC_0030564,,ISIC_0030187,,ISIC_0032922,,ISIC_0033454,
ISIC_0025520,,ISIC_0031203,,ISIC_0032098,,ISIC_0032036,,ISIC_0033336,
ISIC_0025589,,ISIC_0031554,,ISIC_0025439,,ISIC_0025105,,ISIC_0034275,
ISIC_0025394,,ISIC_0028460,,ISIC_0030080,,ISIC_0031146,,ISIC_0033813,
ISIC_0032466,,ISIC_0029453,,ISIC_0033051,,ISIC_0031386,,ISIC_0033878,
ISIC_0031666,,ISIC_0031890,,ISIC_0024930,,ISIC_0026113,,ISIC_0034104,
ISIC_0032790,,ISIC_0032709,,ISIC_0033216,,ISIC_0026352,,ISIC_0034294,
ISIC_0028029,,ISIC_0027502,,ISIC_0032699,,ISIC_0028915,,ISIC_0034141,
ISIC_0025927,,ISIC_0029272,,ISIC_0032684,,ISIC_0028463,,ISIC_0033812,
ISIC_0026796,,ISIC_0025127,,ISIC_0024961,,ISIC_0028467,,ISIC_0033968,
ISIC_0032750,,ISIC_0029265,,ISIC_0030486,,ISIC_0032095,,ISIC_0033654,
ISIC_0030390,,ISIC_0032736,,ISIC_0028442,,ISIC_0028898,,ISIC_0033834,
ISIC_0027063,,ISIC_0028418,,ISIC_0030552,,ISIC_0032722,,ISIC_0033595,
ISIC_0027302,,ISIC_0025153,,ISIC_0028227,,ISIC_0029893,,ISIC_0033643,
ISIC_0027190,,ISIC_0024865,,ISIC_0032936,,ISIC_0032927,,ISIC_0033975,
ISIC_0027359,,ISIC_0028897,,ISIC_0028412,,ISIC_0032617,,ISIC_0033644,
ISIC_0032653,,ISIC_0032533,,ISIC_0025603,,ISIC_0033268,,ISIC_0034012,
ISIC_0031005,,ISIC_0032564,,ISIC_0032662,,ISIC_0030623,,ISIC_0034269,
ISIC_0029513,,ISIC_0027863,,ISIC_0032207,,ISIC_0024323,,ISIC_0034145,
ISIC_0029238,,ISIC_0026823,,ISIC_0032698,,ISIC_0030031,,ISIC_0033872,
ISIC_0033245,,ISIC_0028069,,ISIC_0031118,,ISIC_0025748,,ISIC_0033578,
ISIC_0028082,,ISIC_0032993,,ISIC_0027102,,ISIC_0031670,,ISIC_0034034,
ISIC_0033325,,ISIC_0031013,,ISIC_0026892,,ISIC_0025674,,ISIC_0034051,
ISIC_0027651,,ISIC_0024987,,ISIC_0031350,,ISIC_0026115,,ISIC_0033653,
ISIC_0025451,,ISIC_0027067,,ISIC_0030032,,ISIC_0025219,,ISIC_0034064,
ISIC_0025531,,ISIC_0028219,,ISIC_0032833,,ISIC_0031999,,ISIC_0033754,
ISIC_0028899,,ISIC_0026500,,ISIC_0027797,,ISIC_0025663,,ISIC_0034022,
ISIC_0030843,,ISIC_0025128,,ISIC_0031517,,ISIC_0027552,,ISIC_0033594,
ISIC_0026188,,ISIC_0032182,,ISIC_0032913,,ISIC_0025791,,ISIC_0033819,
ISIC_0025550,,ISIC_0029591,,ISIC_0024940,,ISIC_0027089,,ISIC_0033696,
ISIC_0027171,,ISIC_0030883,,ISIC_0027328,,ISIC_0032372,,ISIC_0034262,
ISIC_0028126,,ISIC_0024929,,ISIC_0032569,,ISIC_0025904,,ISIC_0033570,
ISIC_0026664,,ISIC_0033175,,ISIC_0031953,,ISIC_0032604,,ISIC_0034211,
ISIC_0033166,,ISIC_0028051,,ISIC_0033274,,ISIC_0025413,,ISIC_0034170,
ISIC_0032583,,ISIC_0032968,,ISIC_0027659,,ISIC_0031642,,ISIC_0034106,
ISIC_0026853,,ISIC_0028306,,ISIC_0030950,,ISIC_0028537,,ISIC_0034085,
ISIC_0032638,,ISIC_0027260,,ISIC_0032836,,ISIC_0032622,,ISIC_0033612,
ISIC_0026296,,ISIC_0026963,,ISIC_0033141,,ISIC_0033241,,ISIC_0033863,
ISIC_0027487,,ISIC_0030970,,ISIC_0030575,,ISIC_0026897,,ISIC_0033663,
ISIC_0024886,,ISIC_0025592,,ISIC_0029562,,ISIC_0032017,,ISIC_0033500,
ISIC_0028965,,ISIC_0029740,,ISIC_0025155,,ISIC_0028103,,ISIC_0033573,
ISIC_0026009,,ISIC_0027163,,ISIC_0032807,,ISIC_0028285,,ISIC_0034006,
ISIC_0027155,,ISIC_0024875,,ISIC_0026571,,ISIC_0026531,,ISIC_0034208,
ISIC_0032044,,ISIC_0032823,,ISIC_0024733,,ISIC_0030366,,ISIC_0034202,
ISIC_0028003,,ISIC_0024546,,ISIC_0024571,,ISIC_0024647,,ISIC_0033429,
ISIC_0026247,,ISIC_0028579,,ISIC_0032988,,ISIC_0027060,,ISIC_0033725,
ISIC_0027604,,ISIC_0027300,,ISIC_0033050,,ISIC_0028065,,ISIC_0034059,
ISIC_0026281,,ISIC_0027277,,ISIC_0030060,,ISIC_0027673,,ISIC_0033806,
ISIC_0029434,,ISIC_0032975,,ISIC_0031189,,ISIC_0030604,,ISIC_0033831,
ISIC_0028984,,ISIC_0033192,,ISIC_0028056,,ISIC_0027793,,ISIC_0033956,
ISIC_0024315,,ISIC_0032204,,ISIC_0030223,,ISIC_0030929,,ISIC_0033416,
ISIC_0032509,,ISIC_0032219,,ISIC_0032447,,ISIC_0027663,,ISIC_0033562,
ISIC_0031498,,ISIC_0029819,,ISIC_0024702,,ISIC_0033024,,ISIC_0034089,
ISIC_0030616,,ISIC_0026754,,ISIC_0025363,,ISIC_0031543,,ISIC_0033470,
ISIC_0031369,,ISIC_0025835,,ISIC_0032812,,ISIC_0032879,,ISIC_0033487,
ISIC_0030119,,ISIC_0026229,,ISIC_0029172,,ISIC_0032695,,ISIC_0033901,
ISIC_0024701,,ISIC_0029995,,ISIC_0032511,,ISIC_0028548,,ISIC_0033559,
ISIC_0032400,,ISIC_0027560,,ISIC_0032424,,ISIC_0026120,,ISIC_0034092,
ISIC_0033320,,ISIC_0032626,,ISIC_0029574,,ISIC_0028041,,ISIC_0033444,
ISIC_0028582,,ISIC_0027069,,ISIC_0030324,,ISIC_0032960,,ISIC_0033728,
ISIC_0024554,,ISIC_0027742,,ISIC_0026596,,ISIC_0029454,,ISIC_0034253,
ISIC_0032269,,ISIC_0032730,,ISIC_0025800,,ISIC_0031170,,ISIC_0034205,
ISIC_0028410,,ISIC_0031368,,ISIC_0028709,,ISIC_0024792,,ISIC_0033426,
ISIC_0033302,,ISIC_0025955,,ISIC_0033226,,ISIC_0032586,,ISIC_0033752,
ISIC_0032425,,ISIC_0028022,,ISIC_0032672,,ISIC_0028512,,ISIC_0033717,
ISIC_0026420,,ISIC_0025941,,ISIC_0024958,,ISIC_0033042,,ISIC_0033848,
ISIC_0033099,,ISIC_0032197,,ISIC_0030333,,ISIC_0031915,,ISIC_0033440,
ISIC_0027263,,ISIC_0028584,,ISIC_0025235,,ISIC_0024400,,ISIC_0034036,
ISIC_0030901,,ISIC_0032766,,ISIC_0029028,,ISIC_0032726,,ISIC_0033931,
ISIC_0032220,,ISIC_0025313,,ISIC_0030932,,ISIC_0030211,,ISIC_0033773,
ISIC_0028445,,ISIC_0027832,,ISIC_0032522,,ISIC_0027872,,ISIC_0034046,
ISIC_0032751,,ISIC_0033299,,ISIC_0025450,,ISIC_0033198,,ISIC_0033651,
ISIC_0025489,,ISIC_0032152,,ISIC_0030521,,ISIC_0031557,,ISIC_0033995,
ISIC_0028086,,ISIC_0032537,,ISIC_0024675,,ISIC_0024729,,ISIC_0034028,
ISIC_0028228,,ISIC_0024900,,ISIC_0027234,,ISIC_0031598,,ISIC_0033538,
ISIC_0024853,,ISIC_0031941,,ISIC_0033120,,ISIC_0028326,,ISIC_0033710,
ISIC_0028746,,ISIC_0032420,,ISIC_0033023,,ISIC_0032870,,ISIC_0034239,
ISIC_0025543,,ISIC_0027187,,ISIC_0031310,,ISIC_0032637,,ISIC_0034172,
ISIC_0026207,,ISIC_0033114,,ISIC_0031972,,ISIC_0030423,,ISIC_0033611,
ISIC_0032981,,ISIC_0032782,,ISIC_0029780,,ISIC_0024545,,ISIC_0033704,
ISIC_0026930,,ISIC_0031565,,ISIC_0032597,,ISIC_0032603,,ISIC_0033655,
ISIC_0025732,,ISIC_0027261,,ISIC_0033287,,ISIC_0031034,,ISIC_0034289,
ISIC_0031746,,ISIC_0031087,,ISIC_0030695,,ISIC_0026369,,ISIC_0033424,
ISIC_0030002,,ISIC_0026802,,ISIC_0031389,,ISIC_0028543,,ISIC_0034242,
ISIC_0029363,,ISIC_0029651,,ISIC_0032526,,ISIC_0031239,,ISIC_0034132,
ISIC_0024449,,ISIC_0024806,,ISIC_0024864,,ISIC_0028415,,ISIC_0033668,
ISIC_0030171,,ISIC_0027964,,ISIC_0032724,,ISIC_0028489,,ISIC_0033881,
ISIC_0029632,,ISIC_0030910,,ISIC_0031957,,ISIC_0029909,,ISIC_0033415,
ISIC_0032504,,ISIC_0032984,,ISIC_0025963,,ISIC_0026916,,ISIC_0033856,
ISIC_0027352,,ISIC_0024805,,ISIC_0033027,,ISIC_0028087,,ISIC_0033962,
ISIC_0027573,,ISIC_0029316,,ISIC_0029242,,ISIC_0024898,,ISIC_0034002,
ISIC_0026131,,ISIC_0031410,,ISIC_0026489,,ISIC_0027407,,ISIC_0034005,
ISIC_0024688,,ISIC_0029000,,ISIC_0030501,,ISIC_0029017,,ISIC_0033885,
ISIC_0025277,,ISIC_0032955,,ISIC_0026458,,ISIC_0031208,,ISIC_0034287,
ISIC_0027065,,ISIC_0026545,,ISIC_0029547,,ISIC_0025018,,ISIC_0033399,
ISIC_0026516,,ISIC_0033154,,ISIC_0032187,,ISIC_0032869,,ISIC_0034062,
ISIC_0033258,,ISIC_0027822,,ISIC_0024481,,ISIC_0028878,,ISIC_0033947,
ISIC_0031303,,ISIC_0032985,,ISIC_0033217,,ISIC_0033300,,ISIC_0034216,
ISIC_0027740,,ISIC_0029357,,ISIC_0026812,,ISIC_0033312,,ISIC_0033679,
ISIC_0030257,,ISIC_0025169,,ISIC_0031886,,ISIC_0032656,,ISIC_0034224,
ISIC_0025920,,ISIC_0027951,,ISIC_0025750,,ISIC_0024989,,ISIC_0032815,
ISIC_0028005,,ISIC_0028260,,ISIC_0028812,,ISIC_0028387,,ISIC_0032676,
ISIC_0026919,,ISIC_0025228,,ISIC_0025765,,ISIC_0030556,,ISIC_0033669,
ISIC_0027843,,ISIC_0026303,,ISIC_0024902,,ISIC_0025096,,ISIC_0033153,
ISIC_0030987,,ISIC_0030547,,ISIC_0024405,,ISIC_0026613,,ISIC_0033604,
ISIC_0025210,,ISIC_0029718,,ISIC_0024442,,ISIC_0025649,,ISIC_0033371,
ISIC_0026419,,ISIC_0030676,,ISIC_0030351,,ISIC_0030502,,ISIC_0034098,
ISIC_0031760,,ISIC_0025521,,ISIC_0028573,,ISIC_0029992,,ISIC_0033040,
ISIC_0029601,,ISIC_0025738,,ISIC_0027034,,ISIC_0030128,,ISIC_0032948,
ISIC_0025011,,ISIC_0031592,,ISIC_0027177,,ISIC_0026612,,ISIC_0032435,
ISIC_0028660,,ISIC_0030354,,ISIC_0028128,,ISIC_0028698,,ISIC_0032661,
ISIC_0029750,,ISIC_0027639,,ISIC_0029957,,ISIC_0025789,,ISIC_0032252,
ISIC_0031910,,ISIC_0024955,,ISIC_0028299,,ISIC_0029354,,ISIC_0034138,
ISIC_0031803,,ISIC_0029865,,ISIC_0029167,,ISIC_0029645,,ISIC_0033955,
ISIC_0025034,,ISIC_0031742,,ISIC_0024822,,ISIC_0031845,,ISIC_0033077,
ISIC_0030776,,ISIC_0032012,,ISIC_0027005,,ISIC_0027325,,ISIC_0033671,
ISIC_0027201,,ISIC_0026761,,ISIC_0025403,,ISIC_0030599,,ISIC_0032442,
ISIC_0028599,,ISIC_0028263,,ISIC_0028832,,ISIC_0027840,,ISIC_0032479,
ISIC_0027548,,ISIC_0030073,,ISIC_0029699,,ISIC_0024346,,ISIC_0032193,
ISIC_0031445,,ISIC_0027363,,ISIC_0030525,,ISIC_0029246,,ISIC_0032394,
ISIC_0024316,,ISIC_0028049,,ISIC_0029772,,ISIC_0030546,,ISIC_0032133,
ISIC_0026211,,ISIC_0024820,,ISIC_0026401,,ISIC_0029075,,ISIC_0033367,
ISIC_0028742,,ISIC_0027251,,ISIC_0028594,,ISIC_0031970,,ISIC_0032402,
ISIC_0030807,,ISIC_0031658,,ISIC_0031375,,ISIC_0028427,,ISIC_0032565,
ISIC_0026816,,ISIC_0024874,,ISIC_0030697,,ISIC_0025203,,ISIC_0033650,
ISIC_0029431,,ISIC_0027366,,ISIC_0027412,,ISIC_0031129,,ISIC_0033016,
ISIC_0026237,,ISIC_0027170,,ISIC_0024563,,ISIC_0030157,,ISIC_0034257,
ISIC_0027438,,ISIC_0027551,,ISIC_0024694,,ISIC_0028672,,ISIC_0032952,
ISIC_0024357,,ISIC_0027220,,ISIC_0029131,,ISIC_0026130,,ISIC_0032201,
ISIC_0029405,,ISIC_0028954,,ISIC_0024815,,ISIC_0027429,,ISIC_0032268,
ISIC_0031810,,ISIC_0029890,,ISIC_0028195,,ISIC_0025745,,ISIC_0033364,
ISIC_0031944,,ISIC_0028259,,ISIC_0031668,,ISIC_0026137,,ISIC_0033794,
ISIC_0028305,,ISIC_0030206,,ISIC_0028894,,ISIC_0030701,,ISIC_0033072,
ISIC_0025142,,ISIC_0026573,,ISIC_0024720,,ISIC_0027259,,ISIC_0032470,
ISIC_0030983,,ISIC_0025289,,ISIC_0027070,,ISIC_0024529,,ISIC_0032473,
ISIC_0031693,,ISIC_0026726,,ISIC_0028603,,ISIC_0026960,,ISIC_0032791,
ISIC_0031427,,ISIC_0028998,,ISIC_0027479,,ISIC_0030668,,ISIC_0033974,
ISIC_0030550,,ISIC_0027375,,ISIC_0024391,,ISIC_0025232,,ISIC_0033242,
ISIC_0025384,,ISIC_0028044,,ISIC_0030679,,ISIC_0031777,,ISIC_0032820,
ISIC_0031965,,ISIC_0025938,,ISIC_0028164,,ISIC_0026166,,ISIC_0032758,
ISIC_0029997,,ISIC_0027902,,ISIC_0027403,,ISIC_0030905,,ISIC_0032266,
ISIC_0025206,,ISIC_0029117,,ISIC_0031963,,ISIC_0024859,,ISIC_0034249,
ISIC_0024645,,ISIC_0030629,,ISIC_0031365,,ISIC_0030068,,ISIC_0034112,
ISIC_0032069,,ISIC_0025291,,ISIC_0028705,,ISIC_0031740,,ISIC_0034163,
ISIC_0028627,,ISIC_0027285,,ISIC_0024598,,ISIC_0028183,,ISIC_0033909,
ISIC_0027660,,ISIC_0026387,,ISIC_0028356,,ISIC_0026329,,ISIC_0032181,
ISIC_0028867,,ISIC_0028097,,ISIC_0026654,,ISIC_0028337,,ISIC_0033602,
ISIC_0030453,,ISIC_0025666,,ISIC_0027222,,ISIC_0029045,,ISIC_0033521,
ISIC_0031817,,ISIC_0025516,,ISIC_0028366,,ISIC_0027331,,ISIC_0033598,
ISIC_0030444,,ISIC_0029663,,ISIC_0030457,,ISIC_0027019,,ISIC_0032712,
ISIC_0027099,,ISIC_0030111,,ISIC_0026917,,ISIC_0027164,,ISIC_0034105,
ISIC_0024384,,ISIC_0024604,,ISIC_0025150,,ISIC_0026834,,ISIC_0032738,
ISIC_0031071,,ISIC_0028257,,ISIC_0031319,,ISIC_0024328,,ISIC_0032798,
